lecture,slide_id,concepts_single,concepts_multi,concept_coverage_loss,concept_jaccard_single_vs_multi,triples_single,triples_multi,triple_coverage_loss,triple_jaccard_single_vs_multi
Lecture 6,Slide3,7,11,0.36363636363636365,0.6363636363636364,2,2,0.0,1.0
Lecture 6,Slide30,1,3,0.6666666666666666,0.3333333333333333,3,4,0.25,0.75
Lecture 6,Slide31,6,8,0.25,0.75,1,1,0.0,1.0
Lecture 6,Slide32,1,3,0.6666666666666666,0.3333333333333333,0,0,0.0,1.0
Lecture 6,Slide33,1,3,0.6666666666666666,0.3333333333333333,0,0,0.0,1.0
Lecture 6,Slide34,1,3,0.6666666666666666,0.3333333333333333,3,3,0.0,1.0
Lecture 6,Slide35,1,3,0.6666666666666666,0.3333333333333333,1,2,0.5,0.5
Lecture 6,Slide36,1,3,0.6666666666666666,0.3333333333333333,1,3,0.6666666666666666,0.3333333333333333
Lecture 6,Slide37,1,3,0.6666666666666666,0.3333333333333333,1,3,0.6666666666666666,0.3333333333333333
Lecture 6,Slide38,6,10,0.4,0.6,0,1,1.0,0.0
Lecture 6,Slide39,1,3,0.6666666666666666,0.3333333333333333,2,2,0.0,1.0
Lecture 6,Slide4,9,10,0.1,0.9,2,4,0.5,0.5
Lecture 6,Slide40,1,3,0.6666666666666666,0.3333333333333333,3,5,0.4,0.6
Lecture 6,Slide41,8,10,0.2,0.8,2,4,0.5,0.5
Lecture 6,Slide42,3,4,0.25,0.75,1,1,0.0,1.0
Lecture 6,Slide5,1,3,0.6666666666666666,0.3333333333333333,3,4,0.25,0.75
Lecture 6,Slide6,9,11,0.18181818181818182,0.8181818181818182,1,1,0.0,1.0
Lecture 6,Slide7,1,3,0.6666666666666666,0.3333333333333333,3,3,0.0,1.0
Lecture 6,Slide8,9,11,0.18181818181818182,0.8181818181818182,2,3,0.3333333333333333,0.6666666666666666
Lecture 6,Slide9,5,7,0.2857142857142857,0.7142857142857143,1,2,0.5,0.5
Lecture 7,Slide1,1,11,0.9090909090909091,0.09090909090909091,1,1,0.0,1.0
Lecture 7,Slide10,1,4,0.75,0.25,1,2,0.5,0.5
Lecture 7,Slide11,6,7,0.14285714285714285,0.8571428571428571,1,3,0.6666666666666666,0.3333333333333333
Lecture 7,Slide12,1,9,0.8888888888888888,0.1111111111111111,1,2,0.5,0.5
Lecture 7,Slide13,5,10,0.5,0.5,1,1,0.0,1.0
Lecture 7,Slide14,1,4,0.75,0.25,1,3,0.6666666666666666,0.3333333333333333
Lecture 7,Slide15,9,11,0.18181818181818182,0.8181818181818182,1,1,0.0,1.0
Lecture 7,Slide16,8,10,0.2,0.8,1,2,0.5,0.5
Lecture 7,Slide17,1,6,0.8333333333333334,0.16666666666666666,3,3,0.0,1.0
Lecture 7,Slide18,1,4,0.75,0.25,1,1,0.0,1.0
Lecture 7,Slide19,7,10,0.3,0.7,1,1,0.0,1.0
Lecture 7,Slide2,2,2,0.0,1.0,1,1,0.0,1.0
Lecture 7,Slide20,7,10,0.3,0.7,0,0,0.0,1.0
Lecture 7,Slide21,10,13,0.23076923076923078,0.7692307692307693,1,1,0.0,1.0
Lecture 7,Slide22,9,12,0.25,0.75,1,1,0.0,1.0
Lecture 7,Slide23,7,8,0.125,0.875,1,1,0.0,1.0
Lecture 7,Slide24,8,14,0.42857142857142855,0.5714285714285714,2,2,0.0,1.0
Lecture 7,Slide25,1,2,0.5,0.5,1,1,0.0,1.0
Lecture 7,Slide26,11,13,0.15384615384615385,0.8461538461538461,2,2,0.0,1.0
