lecture,slide_id,model_name,num_concepts_run1,num_concepts_run2,num_triples_run1,num_triples_run2,concept_jaccard,triple_jaccard
Lecture 1,Slide46,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide47,OpenGVLab__InternVL3-14B,3,3,0,0,1.0,1.0
Lecture 1,Slide47,Qwen__Qwen2-VL-7B-Instruct,5,5,0,0,1.0,1.0
Lecture 1,Slide47,Qwen__Qwen3-VL-4B-Instruct,4,4,0,0,1.0,1.0
Lecture 1,Slide47,llava-hf__llava-onevision-qwen2-7b-ov-hf,5,5,0,0,1.0,1.0
Lecture 1,Slide48,OpenGVLab__InternVL3-14B,9,9,2,2,1.0,1.0
Lecture 1,Slide48,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide48,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide48,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide49,OpenGVLab__InternVL3-14B,6,6,1,1,1.0,1.0
Lecture 1,Slide49,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide49,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide49,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide5,OpenGVLab__InternVL3-14B,1,1,2,2,1.0,1.0
Lecture 1,Slide5,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide5,Qwen__Qwen3-VL-4B-Instruct,1,1,1,1,1.0,1.0
Lecture 1,Slide5,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide50,OpenGVLab__InternVL3-14B,6,6,2,2,1.0,1.0
Lecture 1,Slide50,Qwen__Qwen2-VL-7B-Instruct,9,9,0,0,1.0,1.0
Lecture 1,Slide50,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide50,llava-hf__llava-onevision-qwen2-7b-ov-hf,10,10,0,0,1.0,1.0
Lecture 1,Slide6,OpenGVLab__InternVL3-14B,6,6,0,0,1.0,1.0
Lecture 1,Slide6,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide6,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide6,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide7,OpenGVLab__InternVL3-14B,1,1,0,0,1.0,1.0
Lecture 1,Slide7,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide7,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide7,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide8,OpenGVLab__InternVL3-14B,7,7,2,2,1.0,1.0
Lecture 1,Slide8,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide8,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide8,llava-hf__llava-onevision-qwen2-7b-ov-hf,10,10,0,0,1.0,1.0
Lecture 1,Slide9,OpenGVLab__InternVL3-14B,8,8,1,1,1.0,1.0
Lecture 1,Slide9,Qwen__Qwen2-VL-7B-Instruct,8,8,0,0,1.0,1.0
Lecture 1,Slide9,Qwen__Qwen3-VL-4B-Instruct,6,6,0,0,1.0,1.0
Lecture 1,Slide9,llava-hf__llava-onevision-qwen2-7b-ov-hf,7,7,0,0,1.0,1.0
Lecture 10,Slide1,OpenGVLab__InternVL3-14B,0,0,2,2,1.0,1.0
Lecture 10,Slide1,Qwen__Qwen2-VL-7B-Instruct,5,5,0,0,1.0,1.0
Lecture 10,Slide1,Qwen__Qwen3-VL-4B-Instruct,3,3,0,0,1.0,1.0
Lecture 10,Slide1,llava-hf__llava-onevision-qwen2-7b-ov-hf,3,3,0,0,1.0,1.0
Lecture 10,Slide10,OpenGVLab__InternVL3-14B,0,0,0,0,1.0,1.0
Lecture 10,Slide10,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide10,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide10,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 10,Slide11,OpenGVLab__InternVL3-14B,0,0,0,0,1.0,1.0
Lecture 10,Slide11,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide11,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide11,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 10,Slide12,OpenGVLab__InternVL3-14B,0,0,0,0,1.0,1.0
Lecture 10,Slide12,Qwen__Qwen2-VL-7B-Instruct,3,3,0,0,1.0,1.0
Lecture 10,Slide12,Qwen__Qwen3-VL-4B-Instruct,0,0,0,0,1.0,1.0
Lecture 10,Slide12,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 10,Slide13,OpenGVLab__InternVL3-14B,0,0,1,1,1.0,1.0
Lecture 10,Slide13,Qwen__Qwen2-VL-7B-Instruct,9,9,0,0,1.0,1.0
Lecture 10,Slide13,Qwen__Qwen3-VL-4B-Instruct,3,3,0,0,1.0,1.0
Lecture 10,Slide13,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 10,Slide14,OpenGVLab__InternVL3-14B,0,0,0,0,1.0,1.0
Lecture 10,Slide14,Qwen__Qwen2-VL-7B-Instruct,6,6,0,0,1.0,1.0
Lecture 10,Slide14,Qwen__Qwen3-VL-4B-Instruct,1,1,2,2,1.0,1.0
Lecture 10,Slide14,llava-hf__llava-onevision-qwen2-7b-ov-hf,7,7,0,0,1.0,1.0
Lecture 10,Slide15,OpenGVLab__InternVL3-14B,0,0,1,1,1.0,1.0
Lecture 10,Slide15,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide15,Qwen__Qwen3-VL-4B-Instruct,3,3,0,0,1.0,1.0
Lecture 10,Slide15,llava-hf__llava-onevision-qwen2-7b-ov-hf,7,7,0,0,1.0,1.0
Lecture 10,Slide16,OpenGVLab__InternVL3-14B,0,0,0,0,1.0,1.0
Lecture 10,Slide16,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide16,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide16,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 10,Slide17,OpenGVLab__InternVL3-14B,0,0,0,0,1.0,1.0
Lecture 10,Slide17,Qwen__Qwen2-VL-7B-Instruct,7,7,0,0,1.0,1.0
Lecture 10,Slide17,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide17,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 10,Slide18,OpenGVLab__InternVL3-14B,0,0,0,0,1.0,1.0
Lecture 10,Slide18,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide18,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 10,Slide18,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
