tx_hash,block,gas_used,effective_gas_price
068e0632b0c33c2e733fd14e6ecdd191431fea8e3a5455930094342bc11cc05f,68,231424,1000132817
43283b24d44785b9558e8c62e295d4083494aa68f89df41ee646531ab813e9a4,69,231424,1000116472
619cd0804f964f60a6c67126b116d1d1bb91491e188f18e7206f8554edd7f810,70,231424,1000102138
51231adbed881aec1f8f063f3f435bb784a0420cfb90a4447f160e8471def24e,71,231424,1000089568
1e92a4390acbe5adb3a94e60011296e29f7fd3f31626aafb298303c4b3c3ec94,72,231424,1000078545
28a2ed640c0681334437fda5932025dfe7200b35d7426d9e06bc7ca2b7a3135a,73,231424,1000068879
2c264de1d97c5921e1616a4665e34e96a085b5f6046b688fa337e5d17c168ec5,74,231424,1000060402
6b016ed40a4a12abf566e9d236273fa8f7c9ccc317d017d0f0d77ae6be03d0bb,75,231424,1000052969
82e20001f1c7d4e5cac57ce38dc60872122b49ac771b4ad7b4f1bb2c9e1eab02,76,231424,1000046451
78e5151b38f719f7ffa15feaaa70b4c43cb9168a4c7340bb5daf69eae1bc79b9,77,231424,1000040735
ce81bdfe58ea2404e01cd268ea0c87de978b0a1cc3dd3783397561cc34919f2d,78,231424,1000035722
62fb0e8239ea75204fb255b14a5a2217d8443b86f04277c2912f88f4bc17a44b,79,231424,1000031326
f70a336e088e3879932bd0a45798e033157c54a9129f887f45f39597b50ff869,80,231424,1000027471
54a5d7442dbd3a789336f27090709e2eb27ecaf9d89b1104bb303d2cce427b7b,81,231424,1000024091
c5d08da899e7bb0ba107829580956b498a3d85ed1c57ece7de251c83b69276e8,82,231424,1000021127
090d38571c46ea2f5fd39e2327f52f6ca662b34c1fd9a01b5cc15cec14421562,83,231424,1000018527
7e46c8274326b285e9f26b741c401bea2178caee07da962891b61ac501454540,84,231424,1000016247
9bccb01022c3848c383bd97ea44a53c91bc2af5ae4b916102be4d9c91201f9e4,85,231424,1000014248
e26018055d79bbff668cad17a1ec37d83a9b593eb115472aefe11094f8b33b38,86,231424,1000012495
e701591e0e85315b1d73fe3bc88671824e0d7ab105e3f5af423a81fe9d3a99ef,87,231424,1000010958
09f95e837f3c50bd01eedc97447dfcf214370a25c956e638d51533968c86e484,88,231424,1000009610
0022faec8170dbe7dc873af19f8c982a3e6f9852517d1f60f0cbeec0f22fe2c1,89,231424,1000008428
703fedd2d9269e3d7366ac21c0135d3ea15e679e5310d7ab638fe5285e4c5e44,90,231424,1000007391
5ee431cff612d7ba2d08e8a90e301cbf946bd57d6d553058fcfe9bb4e86fc04a,91,231424,1000006482
097dc2450ac76fce66e95ef8b12d6368d94da0736055302070d9753cf4cc53a7,92,231424,1000005685
daa9c65c255d87ef86d710a7f27119523d3fbdeaa3dfad7a965b3557cc2ddf71,93,231424,1000004986
e456c9692eddee3a1488491c1c690ecefa8827d1aaa028bc8140af110d512a5b,94,231424,1000004373
9101ad97e55b94afcbfc7874073114ac8e859e394a6f445393c1d00aaae8714a,95,231424,1000003835
f0865e3bdc179e3de914d1749bdec2900940c3d79d492c639f9ca66c08d8cca5,96,231424,1000003364
856d7fb677df3211db0237f79c64bbcc1990b515e29fc8b9515ac4ba756e2ac3,97,231424,1000002950
